,movie_title,release_year,runtime
247,The Tie That Binds,1995,99.0
248,Three Wishes,1995,115.0
249,Total Eclipse,1995,111.0
250,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,105.0
251,Under Siege 2: Dark Territory,1995,100.0
252,Unstrung Heroes,1995,93.0
253,Unzipped,1995,73.0
254,A Walk in the Clouds,1995,103.0
255,Waterworld,1995,135.0
256,White Man's Burden,1995,89.0
257,Wild Bill,1995,98.0
258,Wild Bill,2011,98.0
259,The Browning Version,1994,97.0
260,The Browning Version,1951,90.0
261,Bushwhacked,1995,90.0
262,Burnt by the Sun,1994,135.0
263,Before the Rain,1994,113.0
264,Before Sunrise,1995,105.0
265,Billy Madison,1995,89.0
266,The Babysitter,1995,90.0
267,Boys on the Side,1995,115.0
268,The Cure,1995,97.0
269,The Cure,1917,31.0
270,Castle Freak,1995,95.0
271,Circle of Friends,1995,103.0
272,Clerks,1994,92.0
273,Don Juan DeMarco,1994,97.0
274,Disclosure,1994,123.0
275,Dream Man,1995,0.0
276,Drop Zone,1994,101.0
277,Destiny Turns on the Radio,1995,0.0
278,Death and the Maiden,1994,103.0
279,Dolores Claiborne,1995,132.0
280,Dumb and Dumber,1994,107.0
281,Eat Drink Man Woman,1994,123.0
282,Exotica,1994,103.0
283,Exit to Eden,1994,113.0
284,Ed Wood,1994,127.0
285,French Kiss,1995,111.0
286,Forget Paris,1995,101.0
287,Far from Home: The Adventures of Yellow Dog,1995,87.0
288,A Goofy Movie,1995,78.0
289,Hideaway,1995,103.0
290,Fluke,1995,96.0
291,Fluke,2008,0.0
292,Farinelli,1994,111.0
293,Gordy,1995,90.0
294,Gumby: The Movie,1995,77.0
295,The Glass Shield,1994,109.0
296,Hoop Dreams,1994,171.0
297,Heavenly Creatures,1994,99.0
298,Houseguest,1995,113.0
299,Immortal Beloved,1994,121.0
300,Heavyweights,1995,100.0
301,Heavyweights,2007,94.0
302,The Hunted,1995,106.0
303,The Hunted,2003,94.0
304,I.Q.,1994,100.0
305,Interview with the Vampire,1994,123.0
306,Jefferson in Paris,1995,139.0
307,The Jerky Boys,1995,82.0
308,Junior,1994,109.0
309,Junior,2014,0.0
310,Junior,2011,96.0
311,Just Cause,1995,102.0
312,A Kid in King Arthur's Court,1995,89.0
313,Kiss of Death,1995,101.0
314,Kiss of Death,1947,98.0
315,Star Wars,1977,121.0
316,Little Women,1994,115.0
317,Little Women,1933,115.0
318,Little Women,1949,121.0
319,A Little Princess,1995,97.0
320,A Little Princess,1986,163.0
321,Ladybird Ladybird,1994,101.0
322,L'Enfer,1994,100.0
323,Like Water for Chocolate,1992,105.0
324,Legends of the Fall,1994,133.0
325,Major Payne,1995,95.0
326,Little Odessa,1994,98.0
327,Mi Vida Loca,1994,92.0
328,Love Affair,1994,108.0
329,Love Affair,1939,88.0
330,Losing Isaiah,1995,106.0
331,The Madness of King George,1994,107.0
332,Mary Shelley's Frankenstein,1994,123.0
333,Man of the House,1995,96.0
334,Man of the House,2005,100.0
335,Mixed Nuts,1994,97.0
336,Milk Money,1994,108.0
337,Miracle on 34th Street,1994,114.0
338,Miracle on 34th Street,1947,96.0
339,Miami Rhapsody,1995,95.0
340,My Family,1995,128.0
341,Murder in the First,1995,122.0
342,Nobody's Fool,1994,110.0
343,Nobody's Fool,1986,107.0
344,Nell,1994,112.0
345,New Jersey Drive,1995,98.0
346,New York Cop,1993,93.0
347,Beyond Bedlam,1994,89.0
348,Nemesis 2 - Nebula,1995,83.0
349,Nina Takes a Lover,1995,100.0
350,Natural Born Killers,1994,119.0
351,Only You,1994,115.0
352,Once Were Warriors,1994,99.0
353,Poison Ivy II: Lily,1996,106.0
354,Outbreak,1995,127.0
355,Leon: The Professional,1994,110.0
356,The Perez Family,1995,113.0
357,A Pyromaniac's Love Story,1995,94.0
358,Pulp Fiction,1994,154.0
359,Panther,1995,124.0
360,Pushing Hands,1992,105.0
361,Priest,1994,98.0
362,Priest,2011,87.0
363,Quiz Show,1994,133.0
364,Picture Bride,1995,94.0
365,Queen Margot,1994,162.0
366,The Quick and the Dead,1995,107.0
367,The Quick and the Dead,1987,90.0
368,Roommates,1995,108.0
369,Prêt-à-Porter,1994,133.0
370,Three Colors: Red,1994,99.0
371,Three Colors: Blue,1993,98.0
372,Three Colors: White,1994,91.0
373,"Red Firecracker, Green Firecracker",1994,111.0
374,Rent-a-Kid,1995,85.0
375,Relative Fear,1995,90.0
376,Stuart Saves His Family,1995,95.0
377,The Swan Princess,1994,89.0
378,The Secret of Roan Inish,1994,97.0
379,The Specialist,1994,110.0
380,Stargate,1994,121.0
381,The Santa Clause,1994,97.0
382,The Shawshank Redemption,1994,142.0
383,Shallow Grave,1994,92.0
384,Suture,1993,96.0
385,Strawberry and Chocolate,1993,108.0
386,Swimming with Sharks,1994,101.0
387,The Sum of Us,1994,100.0
388,Senior Trip,1995,91.0
389,To Live,1994,125.0
390,Tank Girl,1995,98.0
391,Tales from the Crypt: Demon Knight,1995,92.0
392,Star Trek: Generations,1994,118.0
393,Tales from the Hood,1995,98.0
394,Tom & Viv,1994,115.0
395,Village of the Damned,1995,99.0
396,Village of the Damned,1960,77.0
397,Tommy Boy,1995,97.0
398,Vanya on 42nd Street,1994,119.0
399,The Underneath,1995,99.0
400,The Underneath,2013,88.0
401,The Walking Dead,1995,88.0
402,The Walking Dead,1936,66.0
403,What's Eating Gilbert Grape,1993,118.0
404,Virtuosity,1995,106.0
405,While You Were Sleeping,1995,103.0
406,The War,1994,126.0
407,The War,2007,874.0
408,Double Happiness,1994,87.0
409,Muriel's Wedding,1994,106.0
410,The Baby-Sitters Club,1995,94.0
411,Ace Ventura: Pet Detective,1994,86.0
412,"The Adventures of Priscilla, Queen of the Desert",1994,104.0
413,Backbeat,1994,100.0
414,Bitter Moon,1992,139.0
415,Bullets Over Broadway,1994,98.0
416,Clear and Present Danger,1994,141.0
417,The Client,1994,119.0
418,The Client,2011,123.0
419,"Corrina, Corrina",1994,115.0
420,Crooklyn,1994,115.0
421,The Crow,1994,102.0
422,Cobb,1994,128.0
423,The Flintstones,1994,91.0
424,Forrest Gump,1994,142.0
425,Four Weddings and a Funeral,1994,117.0
426,Higher Learning,1995,127.0
427,I Like It Like That,1994,104.0
428,I Love Trouble,1994,123.0
429,I Love Trouble,1948,93.0
430,It Could Happen to You,1994,101.0
431,The Jungle Book,1994,111.0
432,The Jungle Book,1967,78.0
433,The Jungle Book,2016,106.0
434,"The Wonderful, Horrible Life of Leni Riefenstahl",1993,180.0
435,The Lion King,1994,89.0
436,Little Buddha,1993,140.0
437,New Nightmare,1994,112.0
438,The Mask,1994,101.0
439,The Mask,1961,83.0
440,The Mask,1988,90.0
441,Maverick,1994,127.0
442,Mrs. Parker and the Vicious Circle,1994,125.0
443,The Naked Gun 33⅓: The Final Insult,1994,83.0
444,The Paper,1994,112.0
445,Reality Bites,1994,99.0
446,Red Rock West,1993,98.0
447,Ri¢hie Ri¢h,1994,95.0
448,Safe Passage,1994,98.0
449,The River Wild,1994,111.0
450,Speed,1994,116.0
451,Speechless,1994,99.0
452,Timecop,1994,99.0
453,True Lies,1994,141.0
454,When a Man Loves a Woman,1994,126.0
455,Wolf,1994,125.0
456,Wolf,2004,125.0
457,Wolf,2013,122.0
458,Wolf,2008,95.0
459,Wyatt Earp,1994,191.0
460,Bad Company,1995,108.0
461,Bad Company,2002,116.0
462,Bad Company,1972,93.0
463,A Man of No Importance,1994,99.0
464,S.F.W.,1994,96.0
465,A Low Down Dirty Shame,1994,100.0
466,"Boys Life: Three Stories of Love, Lust, and Liberation",1994,91.0
467,Colonel Chabert,1994,110.0
468,"Faster, Pussycat! Kill! Kill!",1965,83.0
469,Jason's Lyric,1994,119.0
470,The Secret Adventures of Tom Thumb,1993,61.0
471,Street Fighter,1994,102.0
472,Coldblooded,1995,92.0
473,Desert Winds,1997,97.0
474,Fall Time,1995,88.0
475,The Fear,1995,98.0
476,Frank and Ollie,1995,89.0
477,Girl in the Cadillac,1995,89.0
478,Homage,1995,97.0
479,Mirage,1995,92.0
480,Mirage,1965,108.0
481,Mirage,2004,107.0
482,Open Season,1996,97.0
483,Open Season,2006,83.0
484,Dos Crímenes,1995,0.0
485,Brother Minister: The Assassination of Malcolm X,1995,115.0
486,Highlander: The Final Dimension,1994,99.0
487,Federal Hill,1995,97.0
488,In the Mouth of Madness,1994,95.0
489,8 Seconds,1994,105.0
490,Above the Rim,1994,96.0
491,Addams Family Values,1993,94.0
492,Martin Lawrence: You So Crazy,1994,84.0
493,The Age of Innocence,1993,139.0
494,The Age of Innocence,1934,81.0
495,Airheads,1994,92.0
496,The Air Up There,1994,107.0
497,Another Stakeout,1993,105.0
498,Bad Girls,1994,99.0
499,Bad Girls,2007,100.0
500,Barcelona,1994,100.0
501,Being Human,1994,122.0
502,The Beverly Hillbillies,1993,93.0
503,Beverly Hills Cop III,1994,104.0
504,Black Beauty,1994,88.0
505,Black Beauty,1971,106.0
506,Blink,1994,106.0
507,Blown Away,1994,121.0
508,Blown Away,1993,93.0
509,Blue Chips,1994,108.0
510,Blue Sky,1994,101.0
511,Body Snatchers,1993,87.0
512,Boxing Helena,1993,107.0
513,A Bronx Tale,1993,121.0
514,Cabin Boy,1994,80.0
515,Calendar Girl,1993,90.0
516,Carlito's Way,1993,144.0
517,City Slickers II: The Legend of Curly's Gold,1994,116.0
518,Clean Slate,1994,107.0
519,Cliffhanger,1993,112.0
520,Coneheads,1993,88.0
521,Color of Night,1994,121.0
522,Cops & Robbersons,1994,93.0
523,The Cowboy Way,1994,102.0
524,Dangerous Game,1993,108.0
525,Dave,1993,110.0
526,Dazed and Confused,1993,102.0
527,Demolition Man,1993,115.0
528,The Endless Summer 2,1994,109.0
529,Even Cowgirls Get the Blues,1994,96.0
530,Fatal Instinct,1993,91.0
531,Farewell My Concubine,1993,171.0
532,The Favor,1994,97.0
533,Fearless,1993,122.0
534,Fearless,2006,103.0
535,Fear of a Black Hat,1994,88.0
536,With Honors,1994,103.0
537,Flesh and Bone,1993,126.0
538,Widows' Peak,1994,101.0
539,For Love or Money,1993,94.0
540,For Love or Money,2014,98.0
541,For Love or Money,1963,108.0
542,The Firm,1993,154.0
543,The Firm,2009,90.0
544,Free Willy,1993,112.0
545,Fresh,1994,114.0
546,Fresh,2009,72.0
547,The Fugitive,1993,130.0
548,The Fugitive,1947,104.0
549,Geronimo: An American Legend,1993,115.0
550,The Getaway,1994,115.0
551,The Getaway,1972,118.0
552,Getting Even with Dad,1994,109.0
553,Go Fish,1994,83.0
554,A Good Man in Africa,1994,94.0
555,Guilty as Sin,1993,107.0
556,Hard Target,1993,97.0
557,Heaven & Earth,1993,140.0
558,Hot Shots! Part Deux,1993,86.0
559,Live Nude Girls,1995,95.0
560,The Englishman Who Went Up a Hill But Came Down a Mountain,1995,99.0
561,The House of the Spirits,1993,140.0
562,House Party 3,1994,100.0
563,The Hudsucker Proxy,1994,111.0
564,I'll Do Anything,1994,115.0
565,In the Army Now,1994,91.0
566,In the Line of Fire,1993,128.0
567,In the Name of the Father,1993,133.0
568,The Inkwell,1994,110.0
569,What's Love Got to Do with It,1993,118.0
570,Jimmy Hollywood,1994,112.0
571,Judgment Night,1993,110.0
572,Jurassic Park,1993,127.0
573,Kalifornia,1993,117.0
574,Killing Zoe,1993,96.0
575,King of the Hill,1993,103.0
576,Lassie,1994,94.0
577,Lassie,2005,100.0
578,Last Action Hero,1993,130.0
579,Life With Mikey,1993,91.0
580,Lightning Jack,1994,98.0
581,M. Butterfly,1993,101.0
582,Made in America,1993,111.0
583,Malice,1993,107.0
584,The Man without a Face,1993,114.0
585,Manhattan Murder Mystery,1993,104.0
586,Menace II Society,1993,97.0
587,Executive Decision,1996,133.0
588,In the Realm of the Senses,1976,105.0
589,What Happened Was...,1994,91.0
590,Much Ado About Nothing,1993,111.0
591,Much Ado About Nothing,2012,107.0
592,Much Ado About Nothing,2016,94.0
593,Mr. Jones,1993,114.0
594,Mr. Jones,2013,90.0
595,Mr. Wonderful,1993,98.0
596,Mrs. Doubtfire,1993,125.0
597,Naked,1993,131.0
598,Naked,2000,94.0
599,Naked,2014,61.0
600,The Next Karate Kid,1994,107.0
601,The New Age,1994,112.0
602,No Escape,1994,118.0
603,No Escape,2015,103.0
604,North,1994,87.0
605,North,2009,78.0
606,Orlando,1992,93.0
607,A Perfect World,1993,138.0
608,Philadelphia,1993,125.0
609,The Piano,1993,121.0
610,Poetic Justice,1993,109.0
611,The Program,1993,112.0
612,The Program,2015,103.0
613,The Puppet Masters,1994,109.0
614,Radioland Murders,1994,108.0
615,The Ref,1994,97.0
616,The Remains of the Day,1993,134.0
617,Renaissance Man,1994,128.0
618,Rising Sun,1993,125.0
619,The Road to Wellville,1994,118.0
620,RoboCop 3,1993,104.0
621,Robin Hood: Men in Tights,1993,104.0
622,Romeo Is Bleeding,1993,100.0
623,Romper Stomper,1992,94.0
624,Ruby in Paradise,1993,114.0
625,Rudy,1993,114.0
626,The Saint of Fort Washington,1993,99.0
627,Savage Nights,1992,126.0
628,Schindler's List,1993,195.0
629,The Scout,1994,101.0
630,Searching for Bobby Fischer,1993,110.0
631,Second Best,1994,105.0
632,The Secret Garden,1993,102.0
633,The Secret Garden,1949,92.0
634,The Secret Garden,1987,100.0
635,Serial Mom,1994,95.0
636,The Shadow,1994,108.0
637,Shadowlands,1993,131.0
638,Short Cuts,1993,187.0
639,A Simple Twist of Fate,1994,106.0
640,Sirens,1993,98.0
641,Six Degrees of Separation,1993,112.0
642,Sleepless in Seattle,1993,105.0
643,Sliver,1993,108.0
644,Blade Runner,1982,117.0
645,Son in Law,1993,95.0
646,So I Married an Axe Murderer,1993,93.0
647,Striking Distance,1993,102.0
648,Harem,1985,113.0
649,Super Mario Bros.,1993,104.0
650,Surviving the Game,1994,96.0
651,Terminal Velocity,1994,102.0
652,Thirty Two Short Films About Glenn Gould,1993,93.0
653,Threesome,1994,93.0
654,The Nightmare Before Christmas,1993,76.0
655,The Three Musketeers,1993,105.0
656,The Three Musketeers,1948,125.0
657,The Three Musketeers,1973,105.0
658,The Three Musketeers,1921,119.0
659,The Three Musketeers,1933,210.0
660,The Three Musketeers,2011,110.0
661,The Three Musketeers,1939,73.0
662,Tombstone,1993,130.0
663,Trial by Jury,1994,107.0
664,True Romance,1993,120.0
665,The War Room,1993,96.0
666,The Pagemaster,1994,80.0
667,"Paris, France",1994,112.0
668,"The Beans of Egypt, Maine",1994,0.0
669,Killer,1994,97.0
670,Killer,1998,80.0
671,Welcome to the Dollhouse,1995,88.0
672,Germinal,1993,160.0
673,Chasers,1994,102.0
674,Cronos,1993,94.0
675,Naked in New York,1993,95.0
676,Kika,1993,117.0
677,Bhaji on the Beach,1994,100.0
678,Little Big League,1994,119.0
679,The Slingshot,1993,102.0
680,Wide Eyed and Legless,1993,102.0
681,Foreign Student,1994,90.0
682,"Ciao, Professore!",1992,100.0
683,Spanking the Monkey,1994,106.0
684,The Little Rascals,1994,82.0
685,À la mode,1993,82.0
686,Andre,1994,94.0
687,The Escort,1993,92.0
688,The Escort,2015,88.0
689,Princess Caraboo,1994,97.0
690,The Celluloid Closet,1996,102.0
691,Café au Lait,1993,94.0
692,Dear Diary,1993,100.0
693,I Don't Want to Talk About It,1993,106.0
694,The Brady Bunch Movie,1995,84.0
695,Home Alone,1990,103.0
696,Ghost,1990,127.0
697,Ghost,2010,116.0
698,Ghost,2012,0.0
699,Ghost,2015,90.0
700,Aladdin,1992,90.0
701,Aladdin,1986,95.0
702,Terminator 2: Judgment Day,1991,137.0
703,Dances with Wolves,1990,181.0
704,Tough and Deadly,1995,92.0
705,Batman,1989,126.0
706,Batman,1966,105.0
707,The Silence of the Lambs,1991,119.0
708,Snow White and the Seven Dwarfs,1937,83.0
709,Beauty and the Beast,1991,84.0
710,Beauty and the Beast,1946,96.0
711,Beauty and the Beast,1962,77.0
712,Beauty and the Beast,2009,90.0
713,Beauty and the Beast,2014,112.0
714,Beauty and the Beast,1987,94.0
715,Beauty and the Beast,1978,83.0
716,Beauty and the Beast,2017,129.0
717,Pinocchio,1940,88.0
718,Pinocchio,2002,108.0
719,Pinocchio,1976,78.0
720,Pinocchio,2012,75.0
721,Pretty Woman,1990,119.0
722,Window to Paris,1993,87.0
723,The Wild Bunch,1969,145.0
724,Love and a .45,1994,101.0
725,The Wooden Man's Bride,1994,113.0
726,A Great Day in Harlem,1994,60.0
727,Bye Bye Love,1995,106.0
728,One Fine Day,1996,108.0
729,Candyman: Farewell to the Flesh,1995,93.0
730,Century,1993,112.0
731,Fargo,1996,98.0
732,Homeward Bound II: Lost in San Francisco,1996,89.0
733,Heavy Metal,1981,90.0
734,Hellraiser: Bloodline,1996,86.0
735,The Pallbearer,1996,97.0
736,Jane Eyre,1996,112.0
737,Jane Eyre,1943,97.0
738,Jane Eyre,1971,110.0
739,Jane Eyre,2011,120.0
740,Jane Eyre,1983,239.0
741,Jane Eyre,1997,108.0
742,Loaded,1996,91.0
743,Loaded,2008,98.0
744,Loaded,2014,90.0
745,Bread and Chocolate,1974,100.0
746,The Aristocats,1970,78.0
747,The Flower of My Secret,1995,107.0
748,Two Much,1996,118.0
749,Ed,1996,94.0
750,Scream of Stone,1991,105.0
751,My Favorite Season,1993,127.0
752,A Modern Affair,1996,90.0
753,Condition Red,1995,83.0
754,Halfaouine: Boy of the Terraces,1990,98.0
755,A Thin Line Between Love and Hate,1996,108.0
756,The Last Supper,1995,92.0
757,Primal Fear,1996,129.0
758,Rude,1995,89.0
759,Carried Away,1996,109.0
760,All Dogs Go to Heaven 2,1996,82.0
761,Land and Freedom,1995,109.0
762,Denise Calls Up,1995,80.0
763,Theodore Rex,1995,92.0
764,A Family Thing,1996,109.0
765,Frisk,1996,88.0
766,Sgt. Bilko,1996,90.0
767,Jack & Sarah,1995,110.0
768,Girl 6,1996,108.0
769,Diabolique,1996,107.0
770,Diabolique,1955,116.0
771,"Little Indian, Big City",1994,90.0
772,Roula,1995,97.0
775,Nelly and Monsieur Arnaud,1996,106.0
776,Courage Under Fire,1996,117.0
777,Mission: Impossible,1996,110.0
778,Cold Fever,1995,85.0
779,Moll Flanders,1996,123.0
780,The Superwife,1996,86.0
781,"301, 302",1995,100.0
782,DragonHeart,1996,103.0
784,My Mother's Courage,1995,93.0
785,Eddie,1996,100.0
786,Yankee Zulu,1993,100.0
787,Billy's Holiday,1995,92.0
788,Purple Noon,1960,115.0
789,August,1996,94.0
790,August,2008,88.0
791,August,2011,108.0
792,August,2011,100.0
793,James and the Giant Peach,1996,79.0
794,Fear,1996,97.0
795,Fear,1990,95.0
796,Fear,1954,83.0
797,Fear,2009,92.0
798,Kids in the Hall: Brain Candy,1996,89.0
799,Faithful,1996,91.0
800,Underground,1995,170.0
801,Underground,1976,87.0
802,Underground,1928,84.0
803,All Things Fair,1995,130.0
804,Bloodsport II,1996,90.0
805,Pather Panchali,1955,125.0
806,The World of Apu,1959,117.0
807,Mystery Science Theater 3000: The Movie,1996,73.0
808,Tarantella,1996,100.0
809,Space Jam,1996,88.0
810,Barbarella,1968,98.0
811,Hostile Intentions,1995,90.0
812,They Bite,1996,98.0
813,Some Folks Call It a Sling Blade,1994,25.0
814,The Run of the Country,1995,0.0
815,Alphaville,1965,100.0
816,Coup de Torchon,1981,128.0
817,Tigrero: A Film That Was Never Made,1994,75.0
818,The Eye of Vichy,1993,110.0
819,Windows,1980,96.0
820,It's My Party,1996,110.0
821,Country Life,1994,118.0
