,movie_title
220,Before Sunrise
221,Billy Madison
222,The Babysitter
223,Boys on the Side
224,The Cure
225,Castle Freak
226,Circle of Friends
227,Clerks
228,Don Juan DeMarco
229,Disclosure
230,Dream Man
231,Drop Zone
232,Destiny Turns on the Radio
233,Death and the Maiden
234,Dolores Claiborne
235,Dumb and Dumber
236,Dumb and Dumber
237,Eat Drink Man Woman
238,Exotica
239,Exit to Eden
240,Ed Wood
241,French Kiss
242,Forget Paris
243,Far from Home: The Adventures of Yellow Dog
244,A Goofy Movie
245,A Goofy Movie
246,Hideaway
247,Fluke
248,Farinelli
249,Gordy
250,Gumby: The Movie
251,The Glass Shield
252,Hoop Dreams
253,Heavenly Creatures
254,Houseguest
255,Immortal Beloved
256,Heavyweights
257,The Hunted
258,I.Q.
259,Interview with the Vampire
260,Jefferson in Paris
261,The Jerky Boys
262,Junior
263,Just Cause
264,A Kid in King Arthur's Court
265,Kiss of Death
266,Star Wars
267,Little Women
268,A Little Princess
269,Ladybird Ladybird
270,L'Enfer
271,Like Water for Chocolate
272,Legends of the Fall
273,Major Payne
274,Little Odessa
275,Mi Vida Loca
276,Love Affair
277,Losing Isaiah
278,The Madness of King George
279,Mary Shelley's Frankenstein
280,Man of the House
281,Mixed Nuts
282,Milk Money
283,Miracle on 34th Street
284,Miami Rhapsody
285,My Family
286,Murder in the First
287,Nobody's Fool
288,Nell
289,New Jersey Drive
290,New York Cop
291,Beyond Bedlam
292,Nemesis 2 - Nebula
293,Nina Takes a Lover
294,Natural Born Killers
295,Only You
296,Once Were Warriors
297,Poison Ivy II: Lily
298,Outbreak
299,Leon: The Professional
300,The Perez Family
301,A Pyromaniac's Love Story
302,Pulp Fiction
303,Panther
304,Pushing Hands
305,Priest
306,Quiz Show
307,Picture Bride
308,Queen Margot
309,The Quick and the Dead
310,Roommates
311,Prêt-à-Porter
312,Three Colors: Red
313,Three Colors: Blue
314,Three Colors: White
315,"Red Firecracker, Green Firecracker"
316,Rent-a-Kid
317,Relative Fear
318,Stuart Saves His Family
319,The Swan Princess
320,The Secret of Roan Inish
321,The Specialist
322,Stargate
323,The Santa Clause
324,The Shawshank Redemption
325,Shallow Grave
326,Suture
327,Suture
328,Strawberry and Chocolate
329,Strawberry and Chocolate
330,Swimming with Sharks
331,The Sum of Us
332,The Sum of Us
333,Senior Trip
334,To Live
335,Tank Girl
336,Tales from the Crypt: Demon Knight
337,Star Trek: Generations
338,Tales from the Hood
339,Tom & Viv
340,Village of the Damned
341,Tommy Boy
342,Vanya on 42nd Street
343,The Underneath
344,The Walking Dead
345,What's Eating Gilbert Grape
346,Virtuosity
347,While You Were Sleeping
348,The War
349,Double Happiness
350,Muriel's Wedding
351,The Baby-Sitters Club
352,Ace Ventura: Pet Detective
353,"The Adventures of Priscilla, Queen of the Desert"
354,Backbeat
355,Bitter Moon
356,Bullets Over Broadway
357,Clear and Present Danger
358,The Client
359,"Corrina, Corrina"
360,Crooklyn
361,The Crow
362,Cobb
363,The Flintstones
364,Forrest Gump
365,Four Weddings and a Funeral
366,Higher Learning
367,I Like It Like That
368,I Love Trouble
369,It Could Happen to You
370,The Jungle Book
371,"The Wonderful, Horrible Life of Leni Riefenstahl"
372,The Lion King
373,The Lion King
374,Little Buddha
375,New Nightmare
376,The Mask
377,Maverick
378,Mrs. Parker and the Vicious Circle
379,The Naked Gun 33⅓: The Final Insult
380,The Paper
381,Reality Bites
382,Red Rock West
383,Ri¢hie Ri¢h
384,Safe Passage
385,The River Wild
386,Speed
387,Speechless
388,Timecop
389,True Lies
390,When a Man Loves a Woman
391,Wolf
392,Wyatt Earp
393,Bad Company
394,A Man of No Importance
395,S.F.W.
396,A Low Down Dirty Shame
397,"Boys Life: Three Stories of Love, Lust, and Liberation"
398,"Boys Life: Three Stories of Love, Lust, and Liberation"
399,"Boys Life: Three Stories of Love, Lust, and Liberation"
400,Colonel Chabert
401,"Faster, Pussycat! Kill! Kill!"
402,Jason's Lyric
403,The Secret Adventures of Tom Thumb
404,Street Fighter
405,Coldblooded
406,Desert Winds
407,Fall Time
408,The Fear
409,Frank and Ollie
410,Girl in the Cadillac
411,Homage
412,Mirage
413,Open Season
414,Dos Crímenes
415,Brother Minister: The Assassination of Malcolm X
416,Brother Minister: The Assassination of Malcolm X
417,Highlander: The Final Dimension
418,Federal Hill
419,In the Mouth of Madness
420,8 Seconds
421,Above the Rim
422,Addams Family Values
423,Martin Lawrence: You So Crazy
424,The Age of Innocence
425,Airheads
426,The Air Up There
427,Another Stakeout
428,Bad Girls
429,Barcelona
430,Being Human
431,The Beverly Hillbillies
432,Beverly Hills Cop III
433,Black Beauty
434,Blink
435,Blown Away
436,Blue Chips
437,Blue Sky
438,Body Snatchers
439,Boxing Helena
440,A Bronx Tale
441,Cabin Boy
442,Calendar Girl
443,Carlito's Way
444,City Slickers II: The Legend of Curly's Gold
445,Clean Slate
446,Cliffhanger
447,Coneheads
448,Color of Night
449,Cops & Robbersons
450,The Cowboy Way
451,Dangerous Game
452,Dave
453,Dazed and Confused
454,Demolition Man
455,The Endless Summer 2
456,Even Cowgirls Get the Blues
457,Fatal Instinct
458,Farewell My Concubine
459,The Favor
460,Fearless
461,Fear of a Black Hat
462,With Honors
463,Flesh and Bone
464,Widows' Peak
465,For Love or Money
466,The Firm
467,Free Willy
468,Fresh
469,The Fugitive
470,Geronimo: An American Legend
471,The Getaway
472,Getting Even with Dad
473,Go Fish
474,A Good Man in Africa
475,Guilty as Sin
476,Hard Target
477,Heaven & Earth
478,Hot Shots! Part Deux
479,Live Nude Girls
480,The Englishman Who Went Up a Hill But Came Down a Mountain
481,The House of the Spirits
482,House Party 3
483,The Hudsucker Proxy
484,I'll Do Anything
485,In the Army Now
486,In the Line of Fire
487,In the Name of the Father
488,The Inkwell
489,What's Love Got to Do with It
490,Jimmy Hollywood
491,Judgment Night
492,Jurassic Park
493,Kalifornia
494,Killing Zoe
495,King of the Hill
496,Lassie
497,Last Action Hero
498,Life With Mikey
499,Lightning Jack
500,Lightning Jack
501,Lightning Jack
502,M. Butterfly
503,Made in America
504,Malice
505,The Man without a Face
506,Manhattan Murder Mystery
507,Menace II Society
508,Menace II Society
509,Executive Decision
510,In the Realm of the Senses
511,What Happened Was...
512,Much Ado About Nothing
513,Mr. Jones
514,Mr. Wonderful
515,Mrs. Doubtfire
516,Naked
517,The Next Karate Kid
518,The New Age
519,No Escape
520,North
521,Orlando
522,A Perfect World
523,Philadelphia
524,The Piano
525,Poetic Justice
526,The Program
527,The Puppet Masters
528,Radioland Murders
529,The Ref
530,The Remains of the Day
531,Renaissance Man
532,Rising Sun
533,The Road to Wellville
534,RoboCop 3
535,Robin Hood: Men in Tights
536,Romeo Is Bleeding
537,Romper Stomper
538,Ruby in Paradise
539,Rudy
540,The Saint of Fort Washington
541,Savage Nights
542,Schindler's List
543,The Scout
544,Searching for Bobby Fischer
545,Second Best
546,The Secret Garden
547,Serial Mom
548,The Shadow
549,Shadowlands
550,Short Cuts
551,A Simple Twist of Fate
552,Sirens
553,Six Degrees of Separation
554,Sleepless in Seattle
555,Sliver
556,Blade Runner
557,Son in Law
558,So I Married an Axe Murderer
559,Striking Distance
560,Harem
561,Super Mario Bros.
562,Super Mario Bros.
563,Surviving the Game
564,Terminal Velocity
565,Thirty Two Short Films About Glenn Gould
566,Threesome
567,The Nightmare Before Christmas
568,The Three Musketeers
569,Tombstone
570,Trial by Jury
571,True Romance
572,The War Room
573,The War Room
574,The Pagemaster
575,The Pagemaster
576,The Pagemaster
577,"Paris, France"
578,"The Beans of Egypt, Maine"
579,Killer
580,Welcome to the Dollhouse
581,Germinal
582,Chasers
583,Cronos
584,Naked in New York
585,Kika
586,Bhaji on the Beach
587,Little Big League
588,The Slingshot
589,Wide Eyed and Legless
590,Foreign Student
591,"Ciao, Professore!"
592,Spanking the Monkey
593,The Little Rascals
594,À la mode
595,Andre
596,The Escort
597,Princess Caraboo
598,The Celluloid Closet
599,The Celluloid Closet
600,Café au Lait
601,Dear Diary
602,I Don't Want to Talk About It
603,The Brady Bunch Movie
604,Home Alone
605,Ghost
606,Aladdin
607,Aladdin
608,Terminator 2: Judgment Day
609,Dances with Wolves
610,Tough and Deadly
611,Batman
612,The Silence of the Lambs
613,Snow White and the Seven Dwarfs
614,Beauty and the Beast
615,Beauty and the Beast
616,Pinocchio
617,Pinocchio
618,Pretty Woman
619,Window to Paris
620,The Wild Bunch
621,Love and a .45
622,The Wooden Man's Bride
623,A Great Day in Harlem
624,Bye Bye Love
625,One Fine Day
626,Candyman: Farewell to the Flesh
627,Century
628,Fargo
629,Homeward Bound II: Lost in San Francisco
630,Heavy Metal
631,Hellraiser: Bloodline
632,Hellraiser: Bloodline
633,The Pallbearer
634,Jane Eyre
635,Loaded
636,Bread and Chocolate
637,The Aristocats
638,The Flower of My Secret
639,Two Much
640,Ed
641,Scream of Stone
642,My Favorite Season
643,A Modern Affair
644,Condition Red
645,Halfaouine: Boy of the Terraces
646,A Thin Line Between Love and Hate
647,The Last Supper
648,Primal Fear
649,Rude
650,Carried Away
651,All Dogs Go to Heaven 2
652,All Dogs Go to Heaven 2
653,Land and Freedom
654,Denise Calls Up
655,Theodore Rex
656,A Family Thing
657,Frisk
658,Sgt. Bilko
659,Jack & Sarah
660,Girl 6
661,Diabolique
662,"Little Indian, Big City"
663,Roula
664,Peanuts – Die Bank zahlt alles
665,Happy Weekend
666,Nelly and Monsieur Arnaud
667,Courage Under Fire
668,Mission: Impossible
669,Cold Fever
670,Moll Flanders
671,The Superwife
672,"301, 302"
673,DragonHeart
674,Und keiner weint mir nach
675,My Mother's Courage
676,Eddie
677,Yankee Zulu
678,Billy's Holiday
679,Purple Noon
680,August
681,James and the Giant Peach
682,Fear
683,Kids in the Hall: Brain Candy
684,Faithful
685,Underground
686,All Things Fair
687,Bloodsport II
688,Pather Panchali
689,The World of Apu
690,Mystery Science Theater 3000: The Movie
691,Tarantella
692,Space Jam
693,Barbarella
694,Hostile Intentions
695,They Bite
696,Some Folks Call It a Sling Blade
697,The Run of the Country
698,Alphaville
699,Coup de Torchon
700,Tigrero: A Film That Was Never Made
701,The Eye of Vichy
702,Windows
703,It's My Party
704,Country Life
705,Operation Dumbo Drop
706,The Promise
707,The Promise
708,The Promise
709,The Promise
710,Mrs. Winterbourne
711,Solo
712,Under The Domim Tree
713,The Substitute
714,True Crime
715,Butterfly Kiss
716,Feeling Minnesota
717,Delta of Venus
718,To Cross the Rubicon
719,Angus
720,Priest Daens
721,Faces
722,Boys
723,The Quest
724,Cosi
725,Sunset Park
726,Mulholland Falls
727,The Truth About Cats & Dogs
728,Oliver & Company
729,Celtic Pride
730,Flipper
731,Captives
732,Of Love and Shadows
733,Dead Man
734,The Horseman on the Roof
735,Switchblade Sisters
736,Mouth to Mouth
737,The Visitors
738,Multiplicity
739,"The Haunted World of Edward D. Wood, Jr."
740,Two Friends
741,Two Friends
742,The Craft
743,The Great White Hype
744,Last Dance
745,Cold Comfort Farm
746,"Institute Benjamenta, or This Dream People Call Human Life"
747,"Institute Benjamenta, or This Dream People Call Human Life"
748,Heaven's Prisoners
749,Original Gangstas
750,The Rock
751,Getting Away with Murder
752,Cemetery Man
753,Twister
754,Barb Wire
755,Le Garçu
756,Honeymoon
757,Ghost in the Shell
758,Thinner
759,Spy Hard
760,Brothers in Trouble
761,A Close Shave
762,Force of Evil
763,The Stupids
764,The Arrival
765,The Man from Down Under
766,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
767,Careful
768,A Month by the Lake
769,Gold Diggers: The Secret of Bear Mountain
770,Kim
771,Carmen Miranda: Bananas Is My Business
772,Ashes of Time
773,The Jar
774,Maya Lin: A Strong Clear Vision
775,Stalingrad
776,The Phantom
777,Striptease
778,The Last of the High Kings
779,Heavy
780,Jack
781,I Shot Andy Warhol
782,The Grass Harp
783,Someone Else's America
784,Life is Rosy
785,Life is Rosy
786,Quartier Mozart
787,Touki Bouki
788,God's Gift
789,Spirits of the Dead
790,Spirits of the Dead
791,Spirits of the Dead
792,Babyfever
793,Babyfever
794,Pharaoh's  Army
795,Trainspotting
796,Til There Was You
797,Independence Day
798,Stealing Beauty
799,The Fan
800,The Hunchback of Notre Dame
801,The Hunchback of Notre Dame
802,The Cable Guy
803,Kingpin
804,Kingpin
805,Eraser
806,The Gate of Heavenly Peace
807,The Gate of Heavenly Peace
808,The Nutty Professor
809,"I, the Worst of All"
810,An Unforgettable Summer
811,A Hungarian Fairy Tale
812,My Life and Times With Antonin Artaud
813,Midnight Dancers
814,Somebody to Love
815,A Very Natural Thing
816,The Old Lady Who Walked in the Sea
817,Daylight
818,The Frighteners
819,Lone Star
820,Harriet the Spy
821,Phenomenon
822,Walking and Talking
823,She's the One
824,A Time to Kill
825,American Buffalo
826,Rendezvous in Paris
827,Alaska
828,Fled
829,Kazaam
830,Magic Hunter
831,Larger Than Life
832,A Boy Called Hate
833,Power 98
834,Two Deaths
835,A Very Brady Sequel
836,Stefano Quantestorie
837,Death in the Garden
838,Hedd Wyn
839,La Collectionneuse
840,Kaspar Hauser
841,Kaspar Hauser
842,Regular Guys
843,Diebinnen
844,The Convent
845,The Adventures of Pinocchio
846,Joe's Apartment
847,The First Wives Club
848,Stonewall
849,Ransom
850,High School High
851,Phat Beach
852,Foxfire
853,Chain Reaction
854,Matilda
855,Emma
856,The Crow: City of Angels
857,House Arrest
858,Eyes Without a Face
859,Bordello of Blood
860,Lotto Land
861,The Story of Xinghua
862,The Day the Sun Turned Cold
863,Flirt
864,The Big Squeeze
865,The Spitfire Grill
866,Escape from L.A.
867,Cyclo
868,Basquiat
869,Tin Cup
870,Dingo
871,The Ballad of Narayama
872,Every Other Weekend
873,Mille bolle blu
874,Crows and Sparrows
875,The Godfather
876,Maybe... Maybe Not
877,Police Story 3: Supercop
878,Manny & Lo
879,Wife
880,Wife
881,Small Faces
882,Bound
883,Bound
884,Carpool
885,Death in Brunswick
886,Kansas City
887,Gone Fishin'
888,Lover's Knot
889,Vive L'Amour
890,Shadow of Angels
891,Killer: A Journal of Murder
892,Nothing to Lose
893,Project S
894,Girls Town
895,Bye-Bye
896,The Relic
897,The Island of Dr. Moreau
898,The Island of Dr. Moreau
899,First Kid
900,The Trigger Effect
901,Sweet Nothing
902,Bogus
903,Bulletproof
904,Talk of Angels
905,The Land Before Time III: The Time of the Great Giving
906,1-900
907,Baton Rouge
908,Halloween: The Curse of Michael Myers
909,Twelfth Night
910,Mother Night
911,Liebelei
912,Venice
913,Wild Reeds
914,For Whom the Bell Tolls
915,The Philadelphia Story
916,Singin' in the Rain
917,Singin' in the Rain
918,An American in Paris
919,Funny Face
920,Breakfast at Tiffany's
921,Vertigo
922,Rear Window
923,It Happened One Night
924,Gaslight
925,The Gay Divorcee
926,North by Northwest
927,The Apartment
928,Some Like It Hot
929,Charade
930,Casablanca
931,The Maltese Falcon
932,My Fair Lady
933,Sabrina
934,Roman Holiday
935,The Little Princess
936,Meet Me in St. Louis
937,The Wizard of Oz
938,Gone with the Wind
939,My Favorite Year
940,Sunset Boulevard
941,Citizen Kane
942,2001: A Space Odyssey
943,Golden Earrings
944,All About Eve
945,The Women
946,Rebecca
947,Foreign Correspondent
948,Notorious
949,Spellbound
950,An Affair to Remember
951,To Catch a Thief
952,Father of the Bride
953,The Band Wagon
954,Ninotchka
955,Love in the Afternoon
956,Gigi
957,The Reluctant Debutante
958,The Adventures of Robin Hood
959,The Adventures of Robin Hood
960,The Mark of Zorro
961,Laura
962,The Ghost and Mrs. Muir
963,Lost Horizon
964,Top Hat
965,To Be or Not to Be
966,My Man Godfrey
967,Giant
968,East of Eden
969,The Thin Man
970,His Girl Friday
971,Around the World in Eighty Days
972,It's a Wonderful Life
973,Mr. Smith Goes to Washington
974,Bringing Up Baby
975,Penny Serenade
976,The Scarlet Letter
977,Lady of Burlesque
978,Of Human Bondage
979,Angel on My Shoulder
980,Little Lord Fauntleroy
981,They Made Me a Criminal
982,The Inspector General
983,Angel and the Badman
984,The 39 Steps
985,A Walk in the Sun
986,The Outlaw
987,The Outlaw
988,Night of the Living Dead
989,The African Queen
990,Beat the Devil
991,Cat on a Hot Tin Roof
992,The Last Time I Saw Paris
993,Meet John Doe
994,Algiers
995,Something to Sing About
996,A Farewell to Arms
997,A Farewell to Arms
998,A Farewell to Arms
999,A Farewell to Arms
1000,Moonlight Murder
1001,Nothing Personal
1002,"Yes, Madam"
1003,Dangerous Ground
1004,Picnic
1005,Madagascar Skin
1006,The Pompatus of Love
1007,Small Wonders
1008,Fly Away Home
1009,Bliss
1010,Grace of My Heart
1011,Brother of Sleep
1012,Maximum Risk
1013,Michael Collins
1014,The Rich Man's Wife
1015,Infinity
1016,Big Night
1017,Big Night
1018,Last Man Standing
1019,Caught
1020,Set It Off
1021,2 Days in the Valley
1022,Curdled
1023,L'associé
1024,Ed's Next Move
1025,Extreme Measures
1026,The Glimmer Man
1027,D3: The Mighty Ducks
1028,The Chamber
1029,The Apple Dumpling Gang
1030,"Davy Crockett, King of the Wild Frontier"
1031,Escape to Witch Mountain
1032,The Love Bug
1033,Herbie Rides Again
1034,Old Yeller
1035,The Parent Trap
1036,Pollyanna
1037,Homeward Bound: The Incredible Journey
1038,The Shaggy Dog
1039,Swiss Family Robinson
1040,That Darn Cat!
1041,"20,000 Leagues Under the Sea"
1042,Cool Runnings
1043,Angels in the Outfield
1044,Cinderella
1045,Cinderella
1046,Cinderella
1047,Winnie the Pooh and the Blustery Day
1048,The Three Caballeros
1049,The Three Caballeros
1050,The Three Caballeros
1051,The Three Caballeros
1052,The Three Caballeros
1053,The Sword in the Stone
1054,So Dear to My Heart
1055,So Dear to My Heart
1056,Robin Hood: Prince of Thieves
1057,Mary Poppins
1058,Dumbo
1059,Dumbo
1060,Dumbo
1061,Dumbo
1062,Dumbo
1063,Dumbo
1064,Pete's Dragon
1065,Bedknobs and Broomsticks
1066,Alice in Wonderland
1067,Alice in Wonderland
1068,Alice in Wonderland
1069,The Fox and the Hound
1070,The Fox and the Hound
1071,The Fox and the Hound
1072,Freeway
1073,The Sound of Music
1074,Die Hard
1075,The Lawnmower Man
1076,Unhook the Stars
1077,Synthetic Pleasures
1078,The Secret Agent
1079,Secrets & Lies
1080,That Thing You Do!
1081,To Gillian on Her 37th Birthday
1082,Surviving Picasso
1083,Love Is All There Is
1084,Beautiful Thing
1085,The Long Kiss Goodnight
1086,The Ghost and the Darkness
1087,Looking for Richard
1088,Trees Lounge
1089,The Proprietor
1090,Normal Life
1091,Get on the Bus
1092,Shadow Conspiracy
1093,Jude
1094,Everyone Says I Love You
1095,Bitter Sugar
1096,Romeo + Juliet
1097,Swingers
1098,Sleepers
1099,The Sunchaser
1100,Johns
1101,Aladdin and the King of Thieves
1102,The Woman in Question
1103,Shall We Dance
1104,A Damsel in Distress
1105,Crossfire
1106,"Murder, My Sweet"
1107,Macao
1108,Macao
1109,For the Moment
1110,Willy Wonka & the Chocolate Factory
1111,The Sexual Life of the Belgians
1112,The Innocents
1113,Sleeper
1114,Bananas
1115,A Fish Called Wanda
1116,Life of Brian
1117,Victor/Victoria
1118,The Candidate
1119,The Great Race
1120,Bonnie and Clyde
1121,The Old Man and the Sea
1122,Dial M for Murder
1123,Madame Butterfly
1124,Dirty Dancing
1125,Reservoir Dogs
1126,Platoon
1127,Weekend at Bernie's
1128,Basic Instinct
1129,The Doors
1130,The Crying Game
1131,Glengarry Glen Ross
1132,Sophie's Choice
1133,E.T. the Extra-Terrestrial
1134,The Search for One-eye Jimmy
1135,A Christmas Carol
1136,Days of Thunder
1137,Top Gun
1138,American Strays
1139,Rebel Without a Cause
1140,A Streetcar Named Desire
1141,Children of the Corn IV: The Gathering
1142,The Leopard Son
1143,Charm's  Incidents
1144,Bird of Prey
1145,Microcosmos
1146,Microcosmos
1147,Palookaville
1148,The Associate
1149,The Funeral
1150,The Sleepover
1151,A Single Girl
1152,The Eighth Day
1153,North Star
1154,Drunks
1155,The People vs. Larry Flynt
1156,Glory Daze
1157,A Perfect Candidate
1158,A Perfect Candidate
1159,On Golden Pond
1160,The Return of the Pink Panther
1161,Drop Dead Fred
1162,The Abyss
1163,The Fog
1164,Escape from New York
1165,The Howling
1166,Jean de Florette
1167,Manon of the Spring
1168,Johnny 100 Pesos
1169,Private Benjamin
1170,Monty Python and the Holy Grail
1171,Monty Python and the Holy Grail
1172,Hustler White
1173,Hustler White
1174,Dadetown
1175,Everything Relative
1176,Entertaining Angels - The Dorothy Day Story
1177,Three Lives and Only One Death
1178,The Line King: The Al Hirschfeld Story
1179,Snowriders
1180,Curtis's Charm
1181,When We Were Kings
1182,The Wrong Trousers
1183,JLG/JLG: Self-Portrait in December
1184,The Return of Martin Guerre
1185,Faust
1186,He Walked by Night
1187,He Walked by Night
1188,Raw Deal
1189,T-Men
1190,The Children Are Watching Us
1191,Pastoral Symphony
1192,Here Comes Cookie
1193,Love In Bloom
1194,Six of a Kind
1195,The Tin Drum
1196,The Ruling Class
1197,Mina Tannenbaum
1198,2 or 3 Things I Know About Her
1199,The Bloody Child
1200,Dear God
1201,Bad Moon
1202,American Dream
1203,American Dream
1204,American Dream
1205,American Dream
1206,Best of the Best 3: No Turning Back
1207,Bob Roberts
1208,Cinema Paradiso
1209,"The Cook, the Thief, His Wife & Her Lover"
1210,Dead Tired
1211,Delicatessen
1212,Delicatessen
1213,The Double Life of Veronique
1214,Enchanted April
1215,Paths of Glory
1216,The Grifters
1217,Hear My Song
1218,The Shooter
1219,The English Patient
1220,Mediterraneo
1221,My Left Foot: The Story of Christy Brown
1222,"Sex, Lies, and Videotape"
1223,Passion Fish
1224,Strictly Ballroom
1225,The Thin Blue Line
1226,Tie Me Up! Tie Me Down!
1227,Madonna: Truth or Dare
1228,Madonna: Truth or Dare
1229,Paris is Burning
1230,One Flew Over the Cuckoo's Nest
1231,Up in Smoke
1232,The Empire Strikes Back
1233,The Princess Bride
1234,Raiders of the Lost Ark
1235,Brazil
1236,Aliens
1237,"The Good, the Bad and the Ugly"
1238,Withnail & I
1239,12 Angry Men
1240,Lawrence of Arabia
1241,A Clockwork Orange
1242,To Kill a Mockingbird
1243,Apocalypse Now
1244,Once Upon a Time in the West
1245,Return of the Jedi
1246,Wings of Desire
1247,The Third Man
1248,GoodFellas
1249,Alien
1250,Army of Darkness
1251,The Big Blue
1252,Ran
1253,The Killer
1254,Psycho
1255,The Blues Brothers
1256,The Godfather: Part II
1257,Full Metal Jacket
1258,A Grand Day Out
1259,Henry V
1260,Amadeus
1261,The Quiet Man
1262,Once Upon a Time in America
1263,Raging Bull
1264,Annie Hall
1265,The Right Stuff
1266,Stalker
1267,Das Boot
1268,The Sting
1269,Harold and Maude
1270,Trust
1271,The Seventh Seal
1272,Local Hero
1273,The Terminator
1274,Braindead
1275,Glory
1276,Rosencrantz & Guildenstern Are Dead
1277,Manhattan
1278,Miller's Crossing
1279,Dead Poets Society
1280,The Graduate
1281,Touch of Evil
1282,La Femme Nikita
1283,The Bridge on the River Kwai
1284,8½
1285,Chinatown
1286,The Day the Earth Stood Still
1287,The Treasure of the Sierra Madre
1288,Bad Taste
1289,Duck Soup
1290,Better Off Dead...
1291,The Shining
1292,Stand by Me
1293,M
1294,Evil Dead II
