,movie_title,language,original_language
246,The Umbrellas of Cherbourg,Français,fr
247,The Tie That Binds,English,en
248,Three Wishes,English,en
249,Total Eclipse,English,en
250,"To Wong Foo, Thanks for Everything! Julie Newmar",English,en
251,Under Siege 2: Dark Territory,English,en
252,Unstrung Heroes,English,en
253,Unzipped,English,en
254,A Walk in the Clouds,English,en
255,Waterworld,English,en
256,White Man's Burden,English,en
257,Wild Bill,广州话 / 廣州話,en
258,Wild Bill,English,en
259,The Browning Version,English,en
260,The Browning Version,English,en
261,Bushwhacked,English,en
262,Burnt by the Sun,Pусский,ru
263,Before the Rain,shqip,en
264,Before Sunrise,English,en
265,Billy Madison,Français,en
266,The Babysitter,English,en
267,Boys on the Side,English,en
268,The Cure,English,en
270,Castle Freak,English,en
271,Circle of Friends,English,en
272,Clerks,English,en
273,Don Juan DeMarco,English,en
274,Disclosure,English,en
275,Dream Man,English,en
276,Drop Zone,English,en
277,Destiny Turns on the Radio,English,it
278,Death and the Maiden,English,en
279,Dolores Claiborne,English,en
280,Dumb and Dumber,English,en
281,Eat Drink Man Woman,普通话,zh
282,Exotica,English,en
283,Exit to Eden,English,en
284,Ed Wood,English,en
285,French Kiss,Français,en
286,Forget Paris,English,en
287,Far from Home: The Adventures of Yellow Dog,English,en
288,A Goofy Movie,English,en
289,Hideaway,English,en
290,Fluke,English,en
291,Fluke,English,hu
292,Farinelli,Français,fr
293,Gordy,English,en
294,Gumby: The Movie,English,en
295,The Glass Shield,English,en
296,Hoop Dreams,English,en
297,Heavenly Creatures,English,en
298,Houseguest,English,en
299,Immortal Beloved,English,en
300,Heavyweights,English,en
301,Heavyweights,English,de
302,The Hunted,English,en
303,The Hunted,فارسی,en
304,I.Q.,English,en
305,Interview with the Vampire,English,en
306,Jefferson in Paris,English,en
307,The Jerky Boys,English,en
308,Junior,English,en
309,Junior,svenska,fr
310,Junior,English,en
311,Just Cause,English,en
312,A Kid in King Arthur's Court,English,en
313,Kiss of Death,English,en
315,Star Wars,English,en
316,Little Women,English,en
317,Little Women,English,en
318,Little Women,English,en
319,A Little Princess,English,en
320,A Little Princess,English,en
321,Ladybird Ladybird,English,en
322,L'Enfer,Français,fr
323,Like Water for Chocolate,English,es
324,Legends of the Fall,,en
325,Major Payne,English,en
326,Little Odessa,English,en
327,Mi Vida Loca,English,en
328,Love Affair,English,en
329,Love Affair,English,en
330,Losing Isaiah,English,en
331,The Madness of King George,English,en
332,Mary Shelley's Frankenstein,English,en
333,Man of the House,English,en
334,Man of the House,English,en
335,Mixed Nuts,English,en
336,Milk Money,English,en
337,Miracle on 34th Street,English,en
338,Miracle on 34th Street,Français,en
339,Miami Rhapsody,English,en
340,My Family,English,en
341,Murder in the First,English,en
342,Nobody's Fool,Český,en
343,Nobody's Fool,广州话 / 廣州話,en
344,Nell,English,en
345,New Jersey Drive,English,en
346,New York Cop,English,en
347,Beyond Bedlam,English,en
348,Nemesis 2 - Nebula,English,en
349,Nina Takes a Lover,English,en
350,Natural Born Killers,English,en
351,Only You,English,en
352,Once Were Warriors,English,en
353,Poison Ivy II: Lily,English,en
354,Outbreak,English,en
355,Leon: The Professional,English,fr
356,The Perez Family,English,en
357,A Pyromaniac's Love Story,English,en
358,Pulp Fiction,English,en
359,Panther,English,en
360,Pushing Hands,English,zh
361,Priest,English,en
362,Priest,English,en
363,Quiz Show,English,en
364,Picture Bride,,en
365,Queen Margot,Français,fr
366,The Quick and the Dead,English,en
367,The Quick and the Dead,English,en
368,Roommates,English,sv
369,Prêt-à-Porter,Français,en
370,Three Colors: Red,Français,fr
371,Three Colors: Blue,Français,fr
372,Three Colors: White,Français,fr
373,"Red Firecracker, Green Firecracker",普通话,zh
374,Rent-a-Kid,English,en
375,Relative Fear,English,en
376,Stuart Saves His Family,English,en
377,The Swan Princess,English,en
378,The Secret of Roan Inish,English,en
379,The Specialist,English,en
380,Stargate,English,en
381,The Santa Clause,English,en
382,The Shawshank Redemption,English,en
383,Shallow Grave,English,en
384,Suture,English,en
385,Strawberry and Chocolate,Español,es
386,Swimming with Sharks,English,en
387,The Sum of Us,English,en
388,Senior Trip,English,en
389,To Live,普通话,zh
390,Tank Girl,English,en
391,Tales from the Crypt: Demon Knight,English,en
392,Star Trek: Generations,English,en
393,Tales from the Hood,English,en
394,Tom & Viv,English,en
395,Village of the Damned,English,en
396,Village of the Damned,English,en
397,Tommy Boy,English,en
398,Vanya on 42nd Street,English,en
399,The Underneath,English,en
400,The Underneath,English,en
401,The Walking Dead,English,en
402,The Walking Dead,English,en
403,What's Eating Gilbert Grape,English,en
404,Virtuosity,English,en
405,While You Were Sleeping,English,en
406,The War,English,en
407,The War,English,en
408,Double Happiness,广州话 / 廣州話,en
409,Muriel's Wedding,English,en
410,The Baby-Sitters Club,English,en
411,Ace Ventura: Pet Detective,English,en
412,"The Adventures of Priscilla, Queen of the Desert",English,en
413,Backbeat,English,en
414,Bitter Moon,Français,en
415,Bullets Over Broadway,English,en
416,Clear and Present Danger,English,en
417,The Client,English,en
418,The Client,한국어/조선말,ko
419,"Corrina, Corrina",English,en
420,Crooklyn,English,en
421,The Crow,English,en
422,Cobb,English,en
423,The Flintstones,English,en
424,Forrest Gump,English,en
425,Four Weddings and a Funeral,English,en
426,Higher Learning,English,en
427,I Like It Like That,English,en
428,I Love Trouble,English,en
429,I Love Trouble,English,en
430,It Could Happen to You,English,en
431,The Jungle Book,English,en
432,The Jungle Book,English,en
434,"The Wonderful, Horrible Life of Leni Riefenstahl",Deutsch,en
435,The Lion King,English,en
436,Little Buddha,English,en
437,New Nightmare,English,en
438,The Mask,svenska,en
439,The Mask,English,en
440,The Mask,English,en
441,Maverick,English,en
442,Mrs. Parker and the Vicious Circle,English,en
443,The Naked Gun 33⅓: The Final Insult,English,en
444,The Paper,English,en
445,Reality Bites,English,en
446,Red Rock West,English,en
447,Ri¢hie Ri¢h,English,en
448,Safe Passage,English,en
449,The River Wild,English,en
450,Speed,English,en
451,Speechless,English,en
452,Timecop,English,en
453,True Lies,English,en
454,When a Man Loves a Woman,English,en
455,Wolf,English,en
456,Wolf,Español,es
457,Wolf,Magyar,nl
458,Wolf,English,en
459,Wyatt Earp,English,en
460,Bad Company,English,en
461,Bad Company,English,en
462,Bad Company,Nederlands,en
463,A Man of No Importance,English,en
464,S.F.W.,English,en
465,A Low Down Dirty Shame,English,en
466,"Boys Life: Three Stories of Love, Lust, and Liberation",English,en
467,Colonel Chabert,Français,fr
468,"Faster, Pussycat! Kill! Kill!",English,en
469,Jason's Lyric,English,en
470,The Secret Adventures of Tom Thumb,English,en
471,Street Fighter,English,en
472,Coldblooded,English,en
474,Fall Time,English,en
475,The Fear,English,en
477,Girl in the Cadillac,English,en
478,Homage,English,en
479,Mirage,English,en
480,Mirage,Español,en
481,Mirage,English,mk
482,Open Season,English,en
483,Open Season,English,en
486,Highlander: The Final Dimension,English,en
488,In the Mouth of Madness,English,en
489,8 Seconds,English,en
490,Above the Rim,English,en
491,Addams Family Values,English,en
492,Martin Lawrence: You So Crazy,English,en
493,The Age of Innocence,English,en
495,Airheads,English,en
496,The Air Up There,English,en
497,Another Stakeout,English,en
498,Bad Girls,English,en
499,Bad Girls,Pусский,es
500,Barcelona,Español,en
501,Being Human,English,en
502,The Beverly Hillbillies,English,en
503,Beverly Hills Cop III,English,en
504,Black Beauty,English,en
505,Black Beauty,English,en
506,Blink,English,en
507,Blown Away,English,en
508,Blown Away,Español,en
509,Blue Chips,English,en
510,Blue Sky,Français,en
511,Body Snatchers,English,en
512,Boxing Helena,English,en
513,A Bronx Tale,English,en
514,Cabin Boy,English,en
515,Calendar Girl,English,en
516,Carlito's Way,English,en
517,City Slickers II: The Legend of Curly's Gold,English,en
518,Clean Slate,English,en
519,Cliffhanger,English,en
520,Coneheads,English,en
521,Color of Night,Český,en
522,Cops & Robbersons,English,en
523,The Cowboy Way,English,en
524,Dangerous Game,English,en
525,Dave,English,en
526,Dazed and Confused,English,en
527,Demolition Man,English,en
528,The Endless Summer 2,English,en
529,Even Cowgirls Get the Blues,English,en
530,Fatal Instinct,English,en
531,Farewell My Concubine,普通话,zh
532,The Favor,English,en
533,Fearless,English,en
534,Fearless,English,zh
535,Fear of a Black Hat,English,en
536,With Honors,English,en
537,Flesh and Bone,English,en
538,Widows' Peak,English,en
539,For Love or Money,English,en
540,For Love or Money,English,zh
541,For Love or Money,English,en
542,The Firm,English,en
543,The Firm,广州话 / 廣州話,en
544,Free Willy,English,en
545,Fresh,English,en
546,Fresh,English,en
547,The Fugitive,English,en
548,The Fugitive,English,en
549,Geronimo: An American Legend,English,en
550,The Getaway,English,en
551,The Getaway,English,en
552,Getting Even with Dad,English,en
553,Go Fish,English,en
554,A Good Man in Africa,English,en
555,Guilty as Sin,English,en
556,Hard Target,English,en
557,Heaven & Earth,English,en
558,Hot Shots! Part Deux,English,en
559,Live Nude Girls,English,en
560,The Englishman Who Went Up a Hill But Came Down a Mountain,English,en
561,The House of the Spirits,Español,en
562,House Party 3,English,en
563,The Hudsucker Proxy,English,en
564,I'll Do Anything,English,en
565,In the Army Now,English,en
566,In the Line of Fire,English,en
567,In the Name of the Father,English,en
568,The Inkwell,English,en
569,What's Love Got to Do with It,English,en
570,Jimmy Hollywood,English,en
571,Judgment Night,English,en
572,Jurassic Park,English,en
573,Kalifornia,English,en
574,Killing Zoe,English,en
575,King of the Hill,English,en
576,Lassie,English,en
577,Lassie,English,en
578,Last Action Hero,English,en
579,Life With Mikey,English,en
580,Lightning Jack,English,en
581,M. Butterfly,English,en
582,Made in America,English,en
583,Malice,English,en
584,The Man without a Face,English,en
585,Manhattan Murder Mystery,English,en
586,Menace II Society,English,en
587,Executive Decision,English,en
588,In the Realm of the Senses,日本語,ja
589,What Happened Was...,English,en
590,Much Ado About Nothing,English,en
592,Much Ado About Nothing,Pусский,es
593,Mr. Jones,English,en
594,Mr. Jones,Italiano,en
595,Mr. Wonderful,English,en
596,Mrs. Doubtfire,English,en
597,Naked,English,en
599,Naked,English,en
600,The Next Karate Kid,English,en
601,The New Age,English,en
602,No Escape,English,en
603,No Escape,日本語,en
604,North,English,en
605,North,English,no
606,Orlando,English,en
607,A Perfect World,English,en
608,Philadelphia,English,en
609,The Piano,English,en
610,Poetic Justice,English,en
611,The Program,English,en
613,The Puppet Masters,English,en
614,Radioland Murders,English,en
615,The Ref,English,en
616,The Remains of the Day,English,en
617,Renaissance Man,English,en
618,Rising Sun,日本語,en
619,The Road to Wellville,English,en
620,RoboCop 3,English,en
621,Robin Hood: Men in Tights,English,en
622,Romeo Is Bleeding,English,en
623,Romper Stomper,Português,en
624,Ruby in Paradise,English,en
625,Rudy,English,en
626,The Saint of Fort Washington,English,en
627,Savage Nights,Français,fr
628,Schindler's List,Deutsch,en
629,The Scout,English,en
630,Searching for Bobby Fischer,English,en
631,Second Best,English,en
632,The Secret Garden,English,en
633,The Secret Garden,English,en
634,The Secret Garden,English,en
635,Serial Mom,English,en
636,The Shadow,English,en
637,Shadowlands,English,en
638,Short Cuts,English,en
639,A Simple Twist of Fate,English,en
640,Sirens,English,en
641,Six Degrees of Separation,English,en
642,Sleepless in Seattle,English,en
643,Sliver,English,en
644,Blade Runner,English,en
645,Son in Law,English,en
646,So I Married an Axe Murderer,Pусский,en
647,Striking Distance,English,en
648,Harem,English,en
649,Super Mario Bros.,English,en
650,Surviving the Game,English,en
651,Terminal Velocity,English,en
652,Thirty Two Short Films About Glenn Gould,Français,en
653,Threesome,English,en
654,The Nightmare Before Christmas,English,en
655,The Three Musketeers,English,en
656,The Three Musketeers,English,en
657,The Three Musketeers,Español,en
658,The Three Musketeers,English,en
659,The Three Musketeers,English,en
660,The Three Musketeers,Bahasa indonesia,en
661,The Three Musketeers,Český,en
662,Tombstone,English,en
663,Trial by Jury,English,en
664,True Romance,English,en
665,The War Room,English,en
666,The Pagemaster,Dansk,en
667,"Paris, France",English,en
669,Killer,English,en
670,Killer,English,en
671,Welcome to the Dollhouse,English,en
672,Germinal,Français,en
673,Chasers,English,en
674,Cronos,English,en
675,Naked in New York,English,en
676,Kika,Español,es
677,Bhaji on the Beach,English,en
678,Little Big League,English,en
679,The Slingshot,svenska,sv
680,Wide Eyed and Legless,English,en
681,Foreign Student,English,en
682,"Ciao, Professore!",Italiano,en
683,Spanking the Monkey,English,en
684,The Little Rascals,English,en
686,Andre,English,en
687,The Escort,Italiano,it
688,The Escort,English,en
689,Princess Caraboo,English,en
690,The Celluloid Closet,English,en
691,Café au Lait,Français,en
692,Dear Diary,العربية,it
694,The Brady Bunch Movie,Italiano,en
695,Home Alone,English,en
696,Ghost,English,en
697,Ghost,English,ja
698,Ghost,English,en
699,Ghost,Pусский,ru
700,Aladdin,English,en
701,Aladdin,English,it
702,Terminator 2: Judgment Day,English,en
703,Dances with Wolves,English,en
704,Tough and Deadly,English,en
705,Batman,English,en
706,Batman,Český,en
707,The Silence of the Lambs,English,en
708,Snow White and the Seven Dwarfs,English,en
709,Beauty and the Beast,Français,en
710,Beauty and the Beast,English,fr
711,Beauty and the Beast,English,en
712,Beauty and the Beast,English,en
713,Beauty and the Beast,English,fr
714,Beauty and the Beast,English,en
715,Beauty and the Beast,English,cs
716,Beauty and the Beast,English,en
717,Pinocchio,English,en
718,Pinocchio,English,it
719,Pinocchio,Français,en
720,Pinocchio,English,en
721,Pretty Woman,English,en
722,Window to Paris,Français,ru
723,The Wild Bunch,English,en
724,Love and a .45,English,en
725,The Wooden Man's Bride,普通话,en
727,Bye Bye Love,English,en
728,One Fine Day,English,en
729,Candyman: Farewell to the Flesh,English,en
730,Century,English,en
731,Fargo,English,en
733,Heavy Metal,English,en
734,Hellraiser: Bloodline,English,en
735,The Pallbearer,English,en
736,Jane Eyre,English,en
737,Jane Eyre,No Language,en
738,Jane Eyre,English,en
739,Jane Eyre,English,en
740,Jane Eyre,Eesti,en
741,Jane Eyre,فارسی,en
743,Loaded,English,en
744,Loaded,English,en
745,Bread and Chocolate,Italiano,it
746,The Aristocats,English,en
747,The Flower of My Secret,Español,es
748,Two Much,English,en
749,Ed,English,en
750,Scream of Stone,Italiano,de
751,My Favorite Season,Français,fr
752,A Modern Affair,English,en
753,Condition Red,English,en
754,Halfaouine: Boy of the Terraces,العربية,en
755,A Thin Line Between Love and Hate,English,en
756,The Last Supper,English,en
757,Primal Fear,English,en
758,Rude,English,en
759,Carried Away,English,en
760,All Dogs Go to Heaven 2,English,en
761,Land and Freedom,Català,en
762,Denise Calls Up,English,en
763,Theodore Rex,English,en
764,A Family Thing,English,en
765,Frisk,English,en
766,Sgt. Bilko,English,en
767,Jack & Sarah,English,en
768,Girl 6,English,en
769,Diabolique,English,en
770,Diabolique,English,fr
771,"Little Indian, Big City",Français,fr
772,Roula,Deutsch,de
774,Happy Weekend,Deutsch,de
775,Nelly and Monsieur Arnaud,Français,fr
776,Courage Under Fire,English,en
777,Mission: Impossible,English,en
778,Cold Fever,Deutsch,de
779,Moll Flanders,English,en
780,The Superwife,Deutsch,de
781,"301, 302",한국어/조선말,ko
782,DragonHeart,English,en
783,Und keiner weint mir nach,Deutsch,de
784,My Mother's Courage,English,de
785,Eddie,English,en
786,Yankee Zulu,Afrikaans,en
788,Purple Noon,English,fr
789,August,English,en
790,August,Dansk,en
792,August,English,en
793,James and the Giant Peach,English,en
794,Fear,English,en
795,Fear,Français,en
796,Fear,English,it
797,Fear,Português,nl
798,Kids in the Hall: Brain Candy,English,en
799,Faithful,English,en
800,Underground,English,sr
801,Underground,English,en
802,Underground,English,en
803,All Things Fair,Deutsch,sv
804,Bloodsport II,English,en
805,Pather Panchali,বাংলা,bn
806,The World of Apu,বাংলা,bn
807,Mystery Science Theater 3000: The Movie,English,en
808,Tarantella,English,en
809,Space Jam,English,en
810,Barbarella,English,en
811,Hostile Intentions,Español,en
814,The Run of the Country,English,en
815,Alphaville,Français,fr
816,Coup de Torchon,English,fr
817,Tigrero: A Film That Was Never Made,English,en
819,Windows,English,en
820,It's My Party,English,en
821,Country Life,English,en
822,Operation Dumbo Drop,English,en
823,The Promise,Deutsch,de
824,The Promise,English,de
825,The Promise,日本語,zh
826,The Promise,English,en
827,The Promise,한국어/조선말,en
828,The Promise,English,de
829,Mrs. Winterbourne,English,en
830,Solo,English,en
831,Solo,العربية,en
832,Solo,广州话 / 廣州話,en
833,Under The Domim Tree,עִבְרִית,he
834,The Substitute,Italiano,en
835,The Substitute,English,da
836,The Substitute,English,en
837,The Substitute,Français,en
838,True Crime,English,en
839,True Crime,English,en
840,Butterfly Kiss,English,en
841,Butterfly Kiss,Pусский,en
842,Feeling Minnesota,English,en
843,Delta of Venus,English,en
845,Angus,English,en
846,Priest Daens,Nederlands,nl
847,Faces,English,en
848,Boys,English,en
849,Boys,English,da
850,Boys,English,nl
851,The Quest,English,en
852,Cosi,English,en
853,Sunset Park,English,en
854,Mulholland Falls,English,en
855,The Truth About Cats & Dogs,English,en
856,Oliver & Company,English,en
857,Celtic Pride,English,en
858,Flipper,English,en
859,Flipper,Deutsch,en
860,Captives,English,en
861,Of Love and Shadows,English,en
862,Dead Man,English,en
863,The Horseman on the Roof,Français,en
864,Switchblade Sisters,English,en
865,Mouth to Mouth,Español,es
866,Mouth to Mouth,English,en
867,The Visitors,Français,fr
868,The Visitors,English,en
869,The Visitors,English,sv
870,Multiplicity,English,en
872,Two Friends,Italiano,en
873,Two Friends,English,fr
874,The Craft,English,en
875,The Great White Hype,English,en
876,Last Dance,English,en
877,Cold Comfort Farm,English,en
878,"Institute Benjamenta, or This Dream People Call Human Life",English,en
879,Heaven's Prisoners,Español,en
880,Original Gangstas,English,en
881,The Rock,English,en
882,Getting Away with Murder,English,en
883,Cemetery Man,English,it
884,Twister,English,en
885,Twister,English,en
886,Barb Wire,Français,en
887,Le Garçu,Deutsch,fr
888,Honeymoon,日本語,de
889,Honeymoon,English,en
890,Honeymoon,English,en
891,Honeymoon,English,cs
892,Ghost in the Shell,English,ja
893,Ghost in the Shell,Português,en
894,Thinner,English,en
895,Spy Hard,English,en
896,Brothers in Trouble,English,en
897,A Close Shave,English,en
898,Force of Evil,English,en
899,The Stupids,English,en
900,The Arrival,English,en
901,The Man from Down Under,English,en
902,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Deutsch,en
903,Careful,English,en
904,A Month by the Lake,English,en
905,Gold Diggers: The Secret of Bear Mountain,English,en
906,Kim,广州话 / 廣州話,en
908,Ashes of Time,English,zh
909,The Jar,Deutsch,en
910,Maya Lin: A Strong Clear Vision,English,en
911,Stalingrad,English,de
912,Stalingrad,English,ru
913,Stalingrad,No Language,ru
914,The Phantom,English,en
915,The Phantom,日本語,pt
916,The Phantom,日本語,en
918,The Phantom,svenska,en
919,Striptease,English,en
920,The Last of the High Kings,English,en
921,Heavy,English,en
922,Jack,English,en
923,Jack,English,en
924,Jack,English,de
925,I Shot Andy Warhol,English,en
926,The Grass Harp,Français,en
928,Life is Rosy,العربية,fr
929,Quartier Mozart,Français,en
930,Touki Bouki,English,wo
932,Spirits of the Dead,English,fr
933,Babyfever,English,en
934,Pharaoh's  Army,English,en
935,Trainspotting,English,en
936,Til There Was You,English,en
937,Independence Day,English,en
938,Stealing Beauty,Latin,en
939,The Fan,English,en
940,The Fan,English,en
941,The Hunchback of Notre Dame,English,en
942,The Hunchback of Notre Dame,Deutsch,fr
943,The Hunchback of Notre Dame,English,en
945,The Cable Guy,English,en
947,Eraser,English,en
948,The Gate of Heavenly Peace,Español,en
949,The Nutty Professor,English,en
950,The Nutty Professor,English,en
951,"I, the Worst of All",Magyar,es
953,A Hungarian Fairy Tale,,en
954,My Life and Times With Antonin Artaud,English,en
955,Midnight Dancers,English,en
956,Somebody to Love,Français,en
957,A Very Natural Thing,English,en
958,The Old Lady Who Walked in the Sea,English,fr
959,Daylight,English,en
960,Daylight,English,en
961,Daylight,English,nl
962,The Frighteners,English,en
963,Lone Star,English,en
964,Harriet the Spy,English,en
965,Phenomenon,English,en
966,Walking and Talking,English,en
967,She's the One,English,en
968,A Time to Kill,Français,en
969,American Buffalo,English,en
970,Rendezvous in Paris,English,fr
971,Alaska,English,en
972,Fled,Magyar,en
973,Kazaam,English,en
974,Magic Hunter,English,hu
975,Larger Than Life,English,en
976,A Boy Called Hate,English,en
977,Power 98,English,en
979,A Very Brady Sequel,Français,en
980,Stefano Quantestorie,Cymraeg,en
981,Death in the Garden,Français,fr
982,Hedd Wyn,Deutsch,cy
983,La Collectionneuse,Deutsch,fr
985,Regular Guys,English,de
986,Diebinnen,English,de
987,The Convent,English,en
988,The Convent,English,en
989,The Adventures of Pinocchio,English,en
990,Joe's Apartment,English,en
991,The First Wives Club,English,en
992,Stonewall,English,en
993,Stonewall,English,en
994,Ransom,English,en
995,Ransom,English,en
996,High School High,English,en
997,Phat Beach,English,en
998,Foxfire,English,en
999,Foxfire,English,en
1000,Chain Reaction,English,en
1001,Chain Reaction,日本語,en
1002,Matilda,English,en
1003,Matilda,English,en
